Using cpu device
Logging to train_data/AgriControl/ppo/deterministic/logs/effortless-sea-71/PPO_0
----------------------------------
| rollout/           |           |
|    ep_len_mean          | 4.92e+03    |
|    ep_rew_mean          | 3531.817    |
| time/                   |             |
|    fps                  | 1106        |
|    iterations           | 42          |
|    time_elapsed         | 621         |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.008080634 |
|    clip_fraction        | 0.0912      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.32       |
|    explained_variance   | 0.98        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.509      |
|    n_updates            | 328         |
|    policy_gradient_loss | -0.00665    |
|    std                  | 1.15        |
|    value_loss           | 0.00597     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.94e+03    |
|    ep_rew_mean          | 3553.0596   |
| time/                   |             |
|    fps                  | 1109        |
|    iterations           | 43          |
|    time_elapsed         | 635         |
|    total_timesteps      | 704512      |
| train/                  |             |
|    approx_kl            | 0.007866912 |
|    clip_fraction        | 0.086       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.34       |
|    explained_variance   | 0.98        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.515      |
|    n_updates            | 336         |
|    policy_gradient_loss | -0.00591    |
|    std                  | 1.15        |
|    value_loss           | 0.00303     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.95e+03    |
|    ep_rew_mean          | 3559.9338   |
| time/                   |             |
|    fps                  | 1112        |
|    iterations           | 44          |
|    time_elapsed         | 647         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.008397791 |
|    clip_fraction        | 0.0876      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.36       |
|    explained_variance   | 0.987       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.534      |
|    n_updates            | 344         |
|    policy_gradient_loss | -0.00722    |
|    std                  | 1.15        |
|    value_loss           | 0.00447     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 4.98e+03     |
|    ep_rew_mean          | 3587.7043    |
| time/                   |              |
|    fps                  | 1114         |
|    iterations           | 45           |
|    time_elapsed         | 661          |
|    total_timesteps      | 737280       |
| train/                  |              |
|    approx_kl            | 0.0080199335 |
|    clip_fraction        | 0.089        |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.37        |
|    explained_variance   | 0.992        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.535       |
|    n_updates            | 352          |
|    policy_gradient_loss | -0.00703     |
|    std                  | 1.16         |
|    value_loss           | 0.00209      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 4.98e+03     |
|    ep_rew_mean          | 3596.6565    |
| time/                   |              |
|    fps                  | 1116         |
|    iterations           | 46           |
|    time_elapsed         | 675          |
|    total_timesteps      | 753664       |
| train/                  |              |
|    approx_kl            | 0.0076265717 |
|    clip_fraction        | 0.0896       |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.39        |
|    explained_variance   | 0.994        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.51        |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00701     |
|    std                  | 1.16         |
|    value_loss           | 0.00202      |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.98e+03   |
|    ep_rew_mean          | 3607.0002  |
| time/                   |            |
|    fps                  | 1118       |
|    iterations           | 47         |
|    time_elapsed         | 688        |
|    total_timesteps      | 770048     |
| train/                  |            |
|    approx_kl            | 0.00799335 |
|    clip_fraction        | 0.09       |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.41      |
|    explained_variance   | 0.996      |
|    learning_rate        | 2e-05      |
|    loss                 | -0.493     |
|    n_updates            | 368        |
|    policy_gradient_loss | -0.00646   |
|    std                  | 1.16       |
|    value_loss           | 0.00171    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.99e+03    |
|    ep_rew_mean          | 3619.1272   |
| time/                   |             |
|    fps                  | 1121        |
|    iterations           | 48          |
|    time_elapsed         | 701         |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.007894073 |
|    clip_fraction        | 0.0908      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.42       |
|    explained_variance   | 0.995       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.53       |
|    n_updates            | 376         |
|    policy_gradient_loss | -0.00873    |
|    std                  | 1.17        |
|    value_loss           | 0.00174     |
-----------------------------------------
Eval num_timesteps=800000, episode_reward=3938.22 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    EPI                  | 11.5        |
|    co2_cost             | 0           |
|    co2_violation        | 0           |
|    elec_cost            | 0           |
|    fixed_costs          | 3.82        |
|    heat_cost            | 1.68        |
|    mean_reward          | 3.94e+03    |
|    revenue              | 13.2        |
|    rh_violation         | 395         |
|    temp_violation       | 254         |
|    variable_costs       | 1.68        |
| time/                   |             |
|    total_timesteps      | 800000      |
| train/                  |             |
|    approx_kl            | 0.008023139 |
|    clip_fraction        | 0.0897      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.44       |
|    explained_variance   | 0.997       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.547      |
|    n_updates            | 384         |
|    policy_gradient_loss | -0.00694    |
|    std                  | 1.17        |
|    value_loss           | 0.00148     |
-----------------------------------------
New best mean reward!
-----------------------
Saving VecNormalize to train_data/AgriControl/ppo/deterministic/envs/effortless-sea-71/best_vecnormalize.pkl
-----------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 4.99e+03 |
|    ep_rew_mean     | 3620.855 |
| time/              |          |
|    fps             | 1109     |
|    iterations      | 49       |
|    time_elapsed    | 723      |
|    total_timesteps | 802816   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.99e+03    |
|    ep_rew_mean          | 3628.0312   |
| time/                   |             |
|    fps                  | 1111        |
|    iterations           | 50          |
|    time_elapsed         | 737         |
|    total_timesteps      | 819200      |
| train/                  |             |
|    approx_kl            | 0.008472389 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.45       |
|    explained_variance   | 0.996       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.519      |
|    n_updates            | 392         |
|    policy_gradient_loss | -0.00814    |
|    std                  | 1.17        |
|    value_loss           | 0.00159     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 4.99e+03     |
|    ep_rew_mean          | 3631.1475    |
| time/                   |              |
|    fps                  | 1114         |
|    iterations           | 51           |
|    time_elapsed         | 749          |
|    total_timesteps      | 835584       |
| train/                  |              |
|    approx_kl            | 0.0074209906 |
|    clip_fraction        | 0.0864       |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.47        |
|    explained_variance   | 0.978        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.508       |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.00514     |
|    std                  | 1.18         |
|    value_loss           | 0.0102       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.02e+03    |
|    ep_rew_mean          | 3655.9902   |
| time/                   |             |
|    fps                  | 1116        |
|    iterations           | 52          |
|    time_elapsed         | 763         |
|    total_timesteps      | 851968      |
| train/                  |             |
|    approx_kl            | 0.008466434 |
|    clip_fraction        | 0.0874      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.49       |
|    explained_variance   | 0.991       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.541      |
|    n_updates            | 408         |
|    policy_gradient_loss | -0.00642    |
|    std                  | 1.18        |
|    value_loss           | 0.00173     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.02e+03    |
|    ep_rew_mean          | 3663.8196   |
| time/                   |             |
|    fps                  | 1116        |
|    iterations           | 53          |
|    time_elapsed         | 777         |
|    total_timesteps      | 868352      |
| train/                  |             |
|    approx_kl            | 0.008697037 |
|    clip_fraction        | 0.095       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.5        |
|    explained_variance   | 0.986       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.525      |
|    n_updates            | 416         |
|    policy_gradient_loss | -0.00605    |
|    std                  | 1.18        |
|    value_loss           | 0.00497     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.02e+03    |
|    ep_rew_mean          | 3665.365    |
| time/                   |             |
|    fps                  | 1115        |
|    iterations           | 54          |
|    time_elapsed         | 793         |
|    total_timesteps      | 884736      |
| train/                  |             |
|    approx_kl            | 0.008529461 |
|    clip_fraction        | 0.0981      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.52       |
|    explained_variance   | 0.996       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.519      |
|    n_updates            | 424         |
|    policy_gradient_loss | -0.00682    |
|    std                  | 1.19        |
|    value_loss           | 0.00158     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.05e+03    |
|    ep_rew_mean          | 3686.6086   |
| time/                   |             |
|    fps                  | 1115        |
|    iterations           | 55          |
|    time_elapsed         | 808         |
|    total_timesteps      | 901120      |
| train/                  |             |
|    approx_kl            | 0.008654593 |
|    clip_fraction        | 0.0926      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.54       |
|    explained_variance   | 0.996       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.524      |
|    n_updates            | 432         |
|    policy_gradient_loss | -0.00637    |
|    std                  | 1.19        |
|    value_loss           | 0.00155     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.07e+03    |
|    ep_rew_mean          | 3706.2576   |
| time/                   |             |
|    fps                  | 1117        |
|    iterations           | 56          |
|    time_elapsed         | 821         |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.008598192 |
|    clip_fraction        | 0.0965      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.55       |
|    explained_variance   | 0.996       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.54       |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.00665    |
|    std                  | 1.19        |
|    value_loss           | 0.00154     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.1e+03     |
|    ep_rew_mean          | 3724.4688   |
| time/                   |             |
|    fps                  | 1118        |
|    iterations           | 57          |
|    time_elapsed         | 835         |
|    total_timesteps      | 933888      |
| train/                  |             |
|    approx_kl            | 0.008283705 |
|    clip_fraction        | 0.0941      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.57       |
|    explained_variance   | 0.997       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.523      |
|    n_updates            | 448         |
|    policy_gradient_loss | -0.00626    |
|    std                  | 1.2         |
|    value_loss           | 0.00137     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.11e+03    |
|    ep_rew_mean          | 3736.5146   |
| time/                   |             |
|    fps                  | 1119        |
|    iterations           | 58          |
|    time_elapsed         | 849         |
|    total_timesteps      | 950272      |
| train/                  |             |
|    approx_kl            | 0.009153819 |
|    clip_fraction        | 0.0975      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.59       |
|    explained_variance   | 0.983       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.517      |
|    n_updates            | 456         |
|    policy_gradient_loss | -0.00683    |
|    std                  | 1.2         |
|    value_loss           | 0.00776     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.14e+03    |
|    ep_rew_mean          | 3755.787    |
| time/                   |             |
|    fps                  | 1120        |
|    iterations           | 59          |
|    time_elapsed         | 862         |
|    total_timesteps      | 966656      |
| train/                  |             |
|    approx_kl            | 0.008502369 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.61       |
|    explained_variance   | 0.98        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.509      |
|    n_updates            | 464         |
|    policy_gradient_loss | -0.00647    |
|    std                  | 1.2         |
|    value_loss           | 0.00892     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.18e+03    |
|    ep_rew_mean          | 3786.5315   |
| time/                   |             |
|    fps                  | 1121        |
|    iterations           | 60          |
|    time_elapsed         | 876         |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.009210417 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.63       |
|    explained_variance   | 0.995       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.54       |
|    n_updates            | 472         |
|    policy_gradient_loss | -0.00759    |
|    std                  | 1.21        |
|    value_loss           | 0.00188     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5.18e+03   |
|    ep_rew_mean          | 3787.5562  |
| time/                   |            |
|    fps                  | 1121       |
|    iterations           | 61         |
|    time_elapsed         | 890        |
|    total_timesteps      | 999424     |
| train/                  |            |
|    approx_kl            | 0.00855451 |
|    clip_fraction        | 0.0937     |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.65      |
|    explained_variance   | 0.979      |
|    learning_rate        | 2e-05      |
|    loss                 | -0.524     |
|    n_updates            | 480        |
|    policy_gradient_loss | -0.00553   |
|    std                  | 1.21       |
|    value_loss           | 0.00865    |
----------------------------------------
Eval num_timesteps=1000000, episode_reward=3938.74 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    EPI                  | 11.6        |
|    co2_cost             | 0           |
|    co2_violation        | 0           |
|    elec_cost            | 0           |
|    fixed_costs          | 3.82        |
|    heat_cost            | 1.6         |
|    mean_reward          | 3.94e+03    |
|    revenue              | 13.2        |
|    rh_violation         | 416         |
|    temp_violation       | 247         |
|    variable_costs       | 1.6         |
| time/                   |             |
|    total_timesteps      | 1000000     |
| train/                  |             |
|    approx_kl            | 0.008218698 |
|    clip_fraction        | 0.0922      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.67       |
|    explained_variance   | 0.997       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.546      |
|    n_updates            | 488         |
|    policy_gradient_loss | -0.00682    |
|    std                  | 1.22        |
|    value_loss           | 0.00134     |
-----------------------------------------
New best mean reward!
-----------------------
Saving VecNormalize to train_data/AgriControl/ppo/deterministic/envs/effortless-sea-71/best_vecnormalize.pkl
-----------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 5.15e+03  |
|    ep_rew_mean     | 3770.2224 |
| time/              |           |
|    fps             | 1112      |
|    iterations      | 62        |
|    time_elapsed    | 912       |
|    total_timesteps | 1015808   |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.16e+03    |
|    ep_rew_mean          | 3777.926    |
| time/                   |             |
|    fps                  | 1113        |
|    iterations           | 63          |
|    time_elapsed         | 927         |
|    total_timesteps      | 1032192     |
| train/                  |             |
|    approx_kl            | 0.009123441 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.69       |
|    explained_variance   | 0.988       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.519      |
|    n_updates            | 496         |
|    policy_gradient_loss | -0.00722    |
|    std                  | 1.22        |
|    value_loss           | 0.00423     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.16e+03    |
|    ep_rew_mean          | 3780.171    |
| time/                   |             |
|    fps                  | 1114        |
|    iterations           | 64          |
|    time_elapsed         | 940         |
|    total_timesteps      | 1048576     |
| train/                  |             |
|    approx_kl            | 0.008222662 |
|    clip_fraction        | 0.0952      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.71       |
|    explained_variance   | 0.994       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.539      |
|    n_updates            | 504         |
|    policy_gradient_loss | -0.00589    |
|    std                  | 1.22        |
|    value_loss           | 0.00158     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.16e+03    |
|    ep_rew_mean          | 3781.4675   |
| time/                   |             |
|    fps                  | 1115        |
|    iterations           | 65          |
|    time_elapsed         | 954         |
|    total_timesteps      | 1064960     |
| train/                  |             |
|    approx_kl            | 0.008350164 |
|    clip_fraction        | 0.0957      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.72       |
|    explained_variance   | 0.991       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.5        |
|    n_updates            | 512         |
|    policy_gradient_loss | -0.00607    |
|    std                  | 1.23        |
|    value_loss           | 0.00452     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.16e+03    |
|    ep_rew_mean          | 3782.4521   |
| time/                   |             |
|    fps                  | 1117        |
|    iterations           | 66          |
|    time_elapsed         | 967         |
|    total_timesteps      | 1081344     |
| train/                  |             |
|    approx_kl            | 0.008626549 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.74       |
|    explained_variance   | 0.996       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.536      |
|    n_updates            | 520         |
|    policy_gradient_loss | -0.00718    |
|    std                  | 1.23        |
|    value_loss           | 0.00169     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.1e+03     |
|    ep_rew_mean          | 3745.278    |
| time/                   |             |
|    fps                  | 1118        |
|    iterations           | 67          |
|    time_elapsed         | 981         |
|    total_timesteps      | 1097728     |
| train/                  |             |
|    approx_kl            | 0.010161231 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.76       |
|    explained_variance   | 0.991       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.556      |
|    n_updates            | 528         |
|    policy_gradient_loss | -0.0065     |
|    std                  | 1.23        |
|    value_loss           | 0.00395     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5.1e+03      |
|    ep_rew_mean          | 3746.3115    |
| time/                   |              |
|    fps                  | 1117         |
|    iterations           | 68           |
|    time_elapsed         | 996          |
|    total_timesteps      | 1114112      |
| train/                  |              |
|    approx_kl            | 0.0088394815 |
|    clip_fraction        | 0.101        |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.78        |
|    explained_variance   | 0.967        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.56        |
|    n_updates            | 536          |
|    policy_gradient_loss | -0.00382     |
|    std                  | 1.24         |
|    value_loss           | 0.0147       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.1e+03     |
|    ep_rew_mean          | 3745.1453   |
| time/                   |             |
|    fps                  | 1117        |
|    iterations           | 69          |
|    time_elapsed         | 1011        |
|    total_timesteps      | 1130496     |
| train/                  |             |
|    approx_kl            | 0.009371761 |
|    clip_fraction        | 0.0946      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.8        |
|    explained_variance   | 0.99        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.519      |
|    n_updates            | 544         |
|    policy_gradient_loss | -0.00505    |
|    std                  | 1.24        |
|    value_loss           | 0.00217     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.1e+03     |
|    ep_rew_mean          | 3744.912    |
| time/                   |             |
|    fps                  | 1117        |
|    iterations           | 70          |
|    time_elapsed         | 1026        |
|    total_timesteps      | 1146880     |
| train/                  |             |
|    approx_kl            | 0.008903259 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.82       |
|    explained_variance   | 0.983       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.536      |
|    n_updates            | 552         |
|    policy_gradient_loss | -0.0057     |
|    std                  | 1.25        |
|    value_loss           | 0.00809     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.1e+03     |
|    ep_rew_mean          | 3745.4482   |
| time/                   |             |
|    fps                  | 1117        |
|    iterations           | 71          |
|    time_elapsed         | 1040        |
|    total_timesteps      | 1163264     |
| train/                  |             |
|    approx_kl            | 0.008671282 |
|    clip_fraction        | 0.0973      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.84       |
|    explained_variance   | 0.991       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.551      |
|    n_updates            | 560         |
|    policy_gradient_loss | -0.00654    |
|    std                  | 1.25        |
|    value_loss           | 0.00284     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.08e+03    |
|    ep_rew_mean          | 3731.4468   |
| time/                   |             |
|    fps                  | 1111        |
|    iterations           | 72          |
|    time_elapsed         | 1061        |
|    total_timesteps      | 1179648     |
| train/                  |             |
|    approx_kl            | 0.009399399 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.86       |
|    explained_variance   | 0.988       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.555      |
|    n_updates            | 568         |
|    policy_gradient_loss | -0.00623    |
|    std                  | 1.26        |
|    value_loss           | 0.00222     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.08e+03    |
|    ep_rew_mean          | 3731.7485   |
| time/                   |             |
|    fps                  | 1112        |
|    iterations           | 73          |
|    time_elapsed         | 1075        |
|    total_timesteps      | 1196032     |
| train/                  |             |
|    approx_kl            | 0.008296572 |
|    clip_fraction        | 0.0943      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.88       |
|    explained_variance   | 0.99        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.541      |
|    n_updates            | 576         |
|    policy_gradient_loss | -0.00533    |
|    std                  | 1.26        |
|    value_loss           | 0.00513     |
-----------------------------------------
Eval num_timesteps=1200000, episode_reward=3941.93 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    EPI                  | 11.7        |
|    co2_cost             | 0           |
|    co2_violation        | 0           |
|    elec_cost            | 0           |
|    fixed_costs          | 3.82        |
|    heat_cost            | 1.53        |
|    mean_reward          | 3.94e+03    |
|    revenue              | 13.3        |
|    rh_violation         | 498         |
|    temp_violation       | 242         |
|    variable_costs       | 1.53        |
| time/                   |             |
|    total_timesteps      | 1200000     |
| train/                  |             |
|    approx_kl            | 0.007924573 |
|    clip_fraction        | 0.0905      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.9        |
|    explained_variance   | 0.992       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.556      |
|    n_updates            | 584         |
|    policy_gradient_loss | -0.005      |
|    std                  | 1.26        |
|    value_loss           | 0.00147     |
-----------------------------------------
New best mean reward!
-----------------------
Saving VecNormalize to train_data/AgriControl/ppo/deterministic/envs/effortless-sea-71/best_vecnormalize.pkl
-----------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 5.1e+03   |
|    ep_rew_mean     | 3751.8425 |
| time/              |           |
|    fps             | 1103      |
|    iterations      | 74        |
|    time_elapsed    | 1098      |
|    total_timesteps | 1212416   |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.1e+03     |
|    ep_rew_mean          | 3752.1204   |
| time/                   |             |
|    fps                  | 1106        |
|    iterations           | 75          |
|    time_elapsed         | 1111        |
|    total_timesteps      | 1228800     |
| train/                  |             |
|    approx_kl            | 0.008892698 |
|    clip_fraction        | 0.0988      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.92       |
|    explained_variance   | 0.996       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.554      |
|    n_updates            | 592         |
|    policy_gradient_loss | -0.00725    |
|    std                  | 1.27        |
|    value_loss           | 0.00136     |
-----------------------------------------
